iter	RMSE
0	149316.7241
1	146543.6117
2	144329.8305
3	142556.1564
4	141149.7767
5	140015.1355
6	139121.5721
7	138415.4866
8	137848.5683
9	137391.7966
10	137033.4414
11	136741.1556
12	136507.9188
13	136317.2758
14	136157.8534
15	136020.2059
16	135917.4884
17	135830.3344
18	135766.523
19	135710.6661
20	135662.4989
21	135619.3097
22	135572.3208
23	135545.6881
24	135520.0646
25	135495.3094
26	135469.7817
27	135445.9217
28	135425.3431
29	135410.1311
30	135398.4503
31	135379.9302
32	135368.1278
33	135354.8844
34	135344.4652
35	135335.6275
36	135328.7588
37	135312.2545
38	135303.2997
39	135294.5232
40	135287.6393
41	135279.621
42	135274.7714
43	135258.8437
44	135252.318
45	135245.6702
46	135241.7883
47	135227.7666
48	135222.5561
49	135215.8596
50	135206.1781
51	135194.1714
52	135189.905
53	135187.0774
54	135182.3046
55	135174.1331
56	135168.8096
57	135164.9718
58	135153.7006
59	135147.881
60	135144.2655
61	135137.9562
62	135134.4664
63	135131.7601
64	135128.826
65	135124.9471
66	135120.5388
67	135113.618
68	135110.8185
69	135108.1266
70	135104.3068
71	135101.5621
72	135101.5369
73	135095.0145
74	135088.5993
75	135086.9077
76	135084.7374
77	135082.2661
78	135080.6055
79	135079.3646
80	135076.9962
81	135075.703
82	135075.691
83	135074.2439
84	135073.4316
85	135069.8545
86	135068.0222
87	135065.8725
88	135063.4676
89	135062.6489
90	135061.1679
91	135058.1509
92	135058.1226
93	135056.8136
94	135055.9735
95	135053.4444
96	135052.575
97	135048.9562
98	135048.0607
99	135047.134
100	135045.3496
101	135044.0722
102	135043.4689
103	135041.9143
104	135040.9423
105	135039.2874
106	135037.5844
107	135037.2181
108	135034.5099
109	135034.3604
110	135033.0544
111	135032.9216
112	135030.1967
113	135029.404
114	135027.1431
115	135025.8518
116	135024.1096
117	135023.3285
118	135020.6915
119	135019.3941
120	135018.3001
121	135017.0326
122	135016.0067
123	135016.0057
124	135014.8837
125	135014.3791
126	135012.8214
127	135011.9582
128	135011.4741
129	135010.3785
130	135009.0175
131	135007.2683
132	135005.8945
133	135005.1325
134	135004.183
135	135002.9305
136	135002.318
137	135001.2739
138	135000.8486
139	135000.0865
140	134999.316
141	134998.6437
142	134997.832
143	134997.2341
144	134996.0744
145	134995.684
146	134995.0915
147	134994.264
148	134993.8714
149	134993.5519
150	134992.0389
151	134991.7705
152	134991.2344
153	134990.8973
154	134989.9631
155	134989.2255
156	134988.2557
157	134987.7911
158	134987.1606
159	134986.6978
160	134986.1827
161	134985.953
162	134985.4753
163	134984.9159
164	134984.3784
165	134984.0642
166	134983.6249
167	134983.2267
168	134982.9925
169	134982.7737
170	134982.4182
171	134981.5954
172	134980.9954
173	134980.8147
174	134980.4503
175	134979.8907
176	134979.5735
177	134979.1452
178	134978.9196
179	134978.5471
180	134978.0955
181	134977.7119
182	134977.4041
183	134977.1209
184	134976.8979
185	134976.5269
186	134976.2533
187	134975.9568
188	134975.7595
189	134975.6303
190	134975.4286
191	134975.0507
192	134974.9231
193	134974.765
194	134974.4001
195	134974.112
196	134973.9209
197	134973.7657
198	134973.4462
199	134972.8142
200	134972.6952
201	134972.4381
202	134971.7776
203	134971.641
204	134971.5412
205	134971.1755
206	134970.9895
207	134970.7566
208	134970.5904
209	134970.3474
210	134969.9148
211	134969.7104
212	134969.5299
213	134969.4353
214	134969.2549
215	134969.0926
216	134968.8944
217	134968.7588
218	134968.672
219	134968.4623
220	134968.1984
221	134967.9475
222	134967.7588
223	134967.6449
224	134967.5918
225	134967.3951
226	134967.2798
227	134967.1622
228	134967.0621
229	134966.8835
230	134966.7619
231	134966.5912
232	134966.1777
233	134966.0327
234	134965.8676
235	134965.7575
236	134965.69
237	134965.3929
238	134965.0348
239	134964.8406
240	134964.6936
241	134964.4627
242	134964.3355
243	134964.1742
244	134964.0783
245	134963.9983
246	134963.9055
247	134963.8125
248	134963.7057
249	134963.6171
250	134963.5367
251	134963.3972
252	134963.3462
253	134962.9923
254	134962.863
255	134962.7417
256	134962.6541
257	134962.5973
258	134962.4716
259	134962.4044
260	134962.3239
261	134962.274
262	134962.1003
263	134962.0467
264	134961.9727
265	134961.8998
266	134961.7939
267	134961.6813
268	134961.6149
269	134961.5704
270	134961.4904
271	134961.3935
272	134961.3293
273	134961.2772
274	134961.171
275	134961.1092
276	134961.0413
277	134961.0075
278	134960.9042
279	134960.8576
280	134960.7938
281	134960.7597
282	134960.711
283	134960.681
284	134960.6178
285	134960.5689
286	134960.516
287	134960.4485
288	134960.3927
289	134960.3693
290	134960.1497
291	134960.0757
292	134960.0336
293	134959.9672
294	134959.934
295	134959.8825
296	134959.8258
297	134959.7995
298	134959.6292
299	134959.6004
300	134959.5376
301	134959.4921
302	134959.4552
303	134959.4339
304	134959.3515
305	134959.3323
306	134959.3076
307	134959.2815
308	134959.2628
309	134959.2209
310	134959.1875
311	134959.1593
312	134959.0935
313	134959.071
314	134959.0422
315	134959.0322
316	134958.9261
317	134958.895
318	134958.8656
319	134958.8209
320	134958.7918
321	134958.7546
322	134958.7061
323	134958.6772
324	134958.6418
325	134958.6071
326	134958.5589
327	134958.5394
328	134958.5192
329	134958.4547
330	134958.4159
331	134958.3861
332	134958.3479
333	134958.307
334	134958.2652
335	134958.2186
336	134958.1281
337	134958.1148
338	134958.0958
339	134958.0678
340	134958.0515
341	134958.0214
342	134958.0034
343	134957.9881
344	134957.9566
345	134957.9509
346	134957.9427
347	134957.9238
348	134957.8932
349	134957.8808
350	134957.8641
351	134957.8542
352	134957.8179
353	134957.8031
354	134957.7916
355	134957.7675
356	134957.755
357	134957.7431
358	134957.7059
359	134957.6724
360	134957.6597
361	134957.5992
362	134957.5867
363	134957.5611
364	134957.5294
365	134957.4805
366	134957.4553
367	134957.4437
368	134957.4168
369	134957.4011
370	134957.3802
371	134957.3688
372	134957.3453
373	134957.3278
374	134957.3161
375	134957.3055
376	134957.2779
377	134957.2456
378	134957.2355
379	134957.2204
380	134957.212
381	134957.1695
382	134957.1502
383	134957.1427
384	134957.1057
385	134957.081
386	134957.0702
387	134957.0568
388	134957.0429
389	134957.0312
390	134957.0215
391	134956.991
392	134956.9755
393	134956.9711
394	134956.961
395	134956.9513
396	134956.9344
397	134956.9295
398	134956.9101
399	134956.8975
400	134956.8907
401	134956.8839
402	134956.8744
403	134956.8539
404	134956.8489
405	134956.8445
406	134956.813
407	134956.8095
408	134956.7909
409	134956.7834
410	134956.7781
411	134956.7769
412	134956.7635
413	134956.7594
414	134956.7429
415	134956.7365
416	134956.7282
