iter	Passed	Remaining
0	65	65320
1	110	55156
2	158	52637
3	205	51184
4	249	49636
5	289	48006
6	332	47106
7	376	46641
8	422	46521
9	466	46191
10	507	45666
11	550	45287
12	591	44884
13	634	44717
14	687	45124
15	733	45087
16	775	44838
17	820	44741
18	860	44427
19	904	44334
20	949	44278
21	993	44147
22	1036	44018
23	1080	43934
24	1123	43821
25	1163	43580
26	1205	43452
27	1249	43361
28	1290	43208
29	1333	43115
30	1375	42983
31	1416	42838
32	1459	42776
33	1504	42747
34	1547	42677
35	1596	42762
36	1648	42917
37	1701	43079
38	1751	43163
39	1802	43257
40	1848	43247
41	1897	43284
42	1946	43316
43	1992	43285
44	2037	43230
45	2085	43261
46	2138	43360
47	2185	43345
48	2230	43296
49	2280	43331
50	2329	43338
51	2373	43271
52	2413	43120
53	2451	42952
54	2493	42848
55	2539	42800
56	2583	42739
57	2627	42678
58	2674	42650
59	2727	42725
60	2807	43212
61	2904	43944
62	2972	44214
63	3021	44191
64	3071	44177
65	3122	44192
66	3182	44313
67	3238	44384
68	3292	44418
69	3338	44358
70	3380	44236
71	3431	44226
72	3455	43883
73	3505	43865
74	3549	43778
75	3602	43803
76	3660	43874
77	3709	43846
78	3756	43793
79	3806	43775
80	3858	43772
81	3904	43709
82	3928	43400
83	3974	43342
84	4020	43279
85	4066	43216
86	4113	43165
87	4155	43070
88	4201	43008
89	4245	42927
90	4292	42882
91	4339	42831
92	4368	42604
93	4417	42577
94	4461	42505
95	4511	42478
96	4554	42397
97	4599	42338
98	4645	42278
99	4695	42257
100	4738	42174
101	4784	42124
102	4831	42075
103	4879	42035
104	4929	42014
105	4976	41971
106	5030	41984
107	5079	41951
108	5129	41932
109	5165	41791
110	5214	41763
111	5251	41638
112	5303	41626
113	5352	41598
114	5403	41586
115	5453	41561
116	5502	41526
117	5553	41506
118	5601	41470
119	5643	41386
120	5688	41326
121	5732	41257
122	5779	41205
123	5806	41017
124	5847	40933
125	5892	40873
126	5946	40874
127	5992	40824
128	6037	40766
129	6083	40712
130	6132	40678
131	6177	40620
132	6223	40569
133	6271	40527
134	6320	40497
135	6363	40429
136	6406	40354
137	6460	40352
138	6507	40307
139	6555	40271
140	6599	40208
141	6644	40149
142	6689	40092
143	6738	40055
144	6787	40020
145	6832	39968
146	6884	39951
147	6961	40076
148	7025	40127
149	7077	40105
150	7125	40063
151	7173	40022
152	7221	39978
153	7262	39897
154	7307	39835
155	7358	39811
156	7407	39772
157	7454	39726
158	7498	39660
159	7546	39617
160	7592	39566
161	7639	39516
162	7685	39463
163	7734	39426
164	7785	39398
165	7828	39332
166	7878	39296
167	7928	39265
168	7970	39191
169	8017	39143
170	8066	39105
171	8113	39055
172	8160	39010
173	8204	38945
174	8249	38891
175	8297	38849
176	8340	38779
177	8387	38734
178	8435	38690
179	8479	38630
180	8525	38575
181	8569	38517
182	8613	38455
183	8656	38388
184	8698	38322
185	8746	38278
186	8790	38217
187	8837	38168
188	8882	38114
189	8924	38048
190	8965	37975
191	9009	37916
192	9053	37854
193	9099	37803
194	9142	37743
195	9190	37700
196	9233	37636
197	9280	37590
198	9327	37543
199	9375	37501
200	9419	37444
201	9470	37414
202	9516	37364
203	9562	37312
204	9612	37277
205	9657	37224
206	9706	37183
207	9750	37128
208	9791	37056
209	9845	37037
210	9892	36993
211	9941	36953
212	9989	36907
213	10032	36848
214	10078	36797
215	10128	36763
216	10181	36737
217	10228	36690
218	10274	36641
219	10327	36617
220	10373	36565
221	10418	36512
222	10462	36453
223	10501	36381
224	10545	36324
225	10592	36278
226	10641	36236
227	10685	36181
228	10727	36116
229	10772	36065
230	10817	36009
231	10863	35961
232	10911	35917
233	10957	35868
234	11007	35832
235	11056	35791
236	11104	35751
237	11152	35707
238	11200	35662
239	11255	35641
240	11305	35605
241	11352	35559
242	11397	35506
243	11441	35450
244	11485	35394
245	11531	35343
246	11575	35290
247	11616	35225
248	11661	35172
249	11707	35122
250	11751	35065
251	11793	35005
252	11834	34943
253	11879	34890
254	11923	34836
255	11971	34792
256	12018	34746
257	12065	34699
258	12111	34651
259	12155	34597
260	12197	34536
261	12241	34481
262	12284	34424
263	12330	34375
264	12373	34318
265	12419	34270
266	12469	34231
267	12514	34182
