month,day_of_week,is_promo,is_holiday,amount
1,4,1,0,334620
1,4,1,0,355140
1,4,1,0,414660
1,4,1,0,798420
1,4,1,0,338400
1,4,1,0,393300
1,4,1,0,685800
1,4,1,0,384060
1,4,1,0,484320
1,4,1,0,381000
1,4,1,0,601860
1,4,1,0,549360
1,4,1,0,420240
1,4,1,0,389460
1,4,1,0,533880
1,4,1,0,572760
1,4,1,0,475740
1,4,1,0,596460
1,4,1,0,427260
1,4,1,0,447480
1,4,1,0,468900
1,4,1,0,298620
1,4,1,0,421500
1,4,1,0,771540
1,4,1,0,857340
1,4,1,0,501660
1,4,1,0,675120
1,4,1,0,311040
1,4,1,0,545280
1,4,1,0,349080
1,4,1,0,488460
1,4,1,0,339120
1,4,1,0,688980
1,4,1,0,566160
1,4,1,0,680820
1,4,1,0,545220
1,4,1,0,485040
1,4,1,0,448620
1,4,1,0,439680
1,4,1,0,318060
1,4,1,0,404160
1,4,1,0,737700
1,4,1,0,512520
1,4,1,0,369000
1,4,1,0,352920
1,4,1,0,401160
1,4,1,0,595860
1,4,1,0,279000
1,4,1,0,521580
1,4,1,0,335220
1,4,1,0,534540
1,4,1,0,399300
1,4,1,0,401940
1,4,1,0,650220
1,4,1,0,341460
1,4,1,0,565260
1,4,1,0,629160
1,4,1,0,466740
1,4,1,0,438720
1,4,1,0,613320
1,4,1,0,356040
1,4,1,0,495960
1,4,1,0,651120
1,4,1,0,891900
1,4,1,0,424140
1,4,1,0,391140
1,4,1,0,604320
1,4,1,0,772860
1,4,1,0,658800
1,4,1,0,499560
1,4,1,0,593340
1,4,1,0,300540
1,4,1,0,328500
1,4,1,0,455220
1,4,1,0,446160
1,4,1,0,580980
1,4,1,0,592740
1,4,1,0,309960
1,4,1,0,357960
1,4,1,0,625620
1,4,1,0,386400
1,4,1,0,712980
1,4,1,0,275040
1,4,1,0,846960
1,4,1,0,449940
1,4,1,0,358620
1,4,1,0,309960
1,4,1,0,412800
1,4,1,0,357300
1,4,1,0,663720
1,4,1,0,305100
1,4,1,0,495600
1,4,1,0,427980
1,4,1,0,459540
1,4,1,0,497280
1,4,1,0,364740
1,4,1,0,469620
1,4,1,0,320460
1,4,1,0,374640
1,4,1,0,585240
1,4,1,0,565620
1,4,1,0,644460
1,4,1,0,346860
1,4,1,0,642540
1,4,1,0,318900
1,4,1,0,619500
1,4,1,0,509580
1,4,1,0,781800
1,4,1,0,524160
1,4,1,0,312180
1,4,1,0,461880
1,4,1,0,402060
1,4,1,0,366960
1,4,1,0,356460
1,4,1,0,548580
1,4,1,0,493500
1,4,1,0,317940
1,4,1,0,619440
1,4,1,0,432420
1,4,1,0,449760
1,4,1,0,318780
1,4,1,0,456000
1,4,1,0,575160
1,4,1,0,464640
1,4,1,0,902820
1,4,1,0,473340
1,4,1,0,386760
1,4,1,0,576600
1,4,1,0,609900
1,4,1,0,394800
1,4,1,0,357060
1,4,1,0,488280
1,4,1,0,440160
1,4,1,0,314760
1,4,1,0,491700
1,4,1,0,451560
1,4,1,0,616740
1,4,1,0,497580
1,4,1,0,426420
1,4,1,0,561540
1,4,1,0,400200
1,4,1,0,359820
1,4,1,0,392100
1,4,1,0,501000
1,4,1,0,599100
1,4,1,0,567120
1,4,1,0,666000
1,4,1,0,593100
1,4,1,0,404640
1,4,1,0,613620
1,4,1,0,573660
1,4,1,0,491400
1,4,1,0,380880
1,4,1,0,636180
1,4,1,0,534840
1,4,1,0,483060
1,4,1,0,638580
1,4,1,0,570780
1,4,1,0,541440
1,4,1,0,420540
1,4,1,0,551220
1,4,1,0,518880
1,4,1,0,450360
1,4,1,0,471300
1,4,1,0,224580
1,4,1,0,375060
1,4,1,0,664980
1,4,1,0,531720
1,4,1,0,462300
1,4,1,0,386040
1,4,1,0,588420
1,4,1,0,443940
1,4,1,0,616860
1,4,1,0,365400
1,4,1,0,445860
1,4,1,0,347160
1,4,1,0,294660
1,4,1,0,709800
1,4,1,0,480000
1,4,1,0,530220
1,4,1,0,438660
1,4,1,0,417360
1,4,1,0,254820
1,4,1,0,514140
1,4,1,0,577860
1,4,1,0,246240
1,4,1,0,506940
1,4,1,0,461520
1,4,1,0,599520
1,4,1,0,466800
1,4,1,0,385560
1,4,1,0,827820
1,4,1,0,261180
1,4,1,0,344340
1,4,1,0,837120
1,4,1,0,453960
1,4,1,0,594720
1,4,1,0,209760
1,4,1,0,621360
1,4,1,0,632040
1,4,1,0,370440
1,4,1,0,431340
1,4,1,0,480300
1,4,1,0,374580
1,4,1,0,486840
1,4,1,0,545220
1,4,1,0,748560
1,4,1,0,228180
1,4,1,0,408840
1,4,1,0,290520
1,4,1,0,822720
1,4,1,0,368640
1,4,1,0,494340
1,4,1,0,675480
1,4,1,0,518280
1,4,1,0,570780
1,4,1,0,375540
1,4,1,0,369960
1,4,1,0,214500
1,4,1,0,348720
1,4,1,0,457740
1,4,1,0,378300
1,4,1,0,587220
1,4,1,0,456360
1,4,1,0,370320
1,4,1,0,518220
1,4,1,0,534480
1,4,1,0,569160
1,4,1,0,720360
1,4,1,0,704100
1,4,1,0,442380
1,4,1,0,293220
1,4,1,0,701460
1,4,1,0,841800
1,4,1,0,384180
1,4,1,0,588600
1,4,1,0,328620
1,4,1,0,636300
1,4,1,0,401940
1,4,1,0,320520
1,4,1,0,441600
1,4,1,0,312660
1,4,1,0,483120
1,4,1,0,383400
1,4,1,0,646020
1,4,1,0,614160
1,4,1,0,691980
1,4,1,0,610380
1,4,1,0,452520
1,4,1,0,741480
1,4,1,0,641460
1,4,1,0,484140
1,4,1,0,254460
1,4,1,0,478980
1,4,1,0,689940
1,4,1,0,366900
1,4,1,0,424980
1,4,1,0,868560
1,4,1,0,423120
1,4,1,0,784140
1,4,1,0,258420
1,4,1,0,489720
1,4,1,0,389280
1,4,1,0,251160
1,4,1,0,641520
1,4,1,0,458400
1,4,1,0,764880
1,4,1,0,666060
1,4,1,0,600540
1,4,1,0,448200
1,4,1,0,515400
1,4,1,0,291840
1,4,1,0,481560
1,4,1,0,273600
1,4,1,0,512460
1,4,1,0,558540
1,4,1,0,759900
1,4,1,0,376500
1,4,1,0,492180
1,4,1,0,338100
1,4,1,0,447360
1,4,1,0,391140
1,4,1,0,394080
1,4,1,0,366900
1,4,1,0,502020
1,4,1,0,418920
1,4,1,0,414240
1,4,1,0,566640
1,4,1,0,399480
1,4,1,0,438840
1,4,1,0,460380
1,4,1,0,352740
1,4,1,0,608340
1,4,1,0,500580
1,4,1,0,598320
1,4,1,0,337860
1,4,1,0,610560
1,4,1,0,392040
1,4,1,0,312300
1,4,1,0,435780
1,4,1,0,650880
1,4,1,0,448620
1,4,1,0,284940
1,4,1,0,200340
1,4,1,0,460860
1,4,1,0,355320
1,4,1,0,733920
1,4,1,0,518700
1,4,1,0,378540
1,4,1,0,605040
1,4,1,0,409620
1,4,1,0,325380
1,4,1,0,562140
1,4,1,0,376560
1,4,1,0,514260
1,4,1,0,661320
1,4,1,0,469260
1,4,1,0,338160
1,4,1,0,548280
1,4,1,0,384300
1,4,1,0,453060
1,4,1,0,403440
1,4,1,0,617580
1,4,1,0,328740
1,4,1,0,614460
1,4,1,0,342420
1,4,1,0,426960
1,4,1,0,270060
1,4,1,0,756540
1,4,1,0,427020
1,4,1,0,368280
1,4,1,0,564300
1,4,1,0,333900
1,4,1,0,470640
1,4,1,0,480720
1,4,1,0,705780
1,4,1,0,547080
1,4,1,0,638280
1,4,1,0,312540
1,4,1,0,548220
1,4,1,0,354360
1,4,1,0,550200
1,4,1,0,520380
1,4,1,0,488820
1,4,1,0,524940
1,4,1,0,467340
1,4,1,0,451080
1,4,1,0,571560
1,4,1,0,736740
1,4,1,0,411060
1,4,1,0,621780
1,4,1,0,824400
1,4,1,0,528840
1,4,1,0,521760
1,4,1,0,515700
1,4,1,0,665100
1,4,1,0,492360
1,4,1,0,307860
1,4,1,0,395640
1,4,1,0,471240
1,4,1,0,469680
1,4,1,0,481560
1,4,1,0,435600
1,4,1,0,569400
1,4,1,0,616080
1,4,1,0,276240
1,4,1,0,524100
1,4,1,0,694320
1,4,1,0,607860
1,4,1,0,731760
1,4,1,0,398520
1,4,1,0,354240
1,4,1,0,672720
1,4,1,0,623460
1,4,1,0,722880
1,4,1,0,502440
1,4,1,0,466440
1,4,1,0,757620
1,4,1,0,694500
1,4,1,0,783480
1,4,1,0,849180
1,4,1,0,484560
1,4,1,0,440280
1,4,1,0,470760
1,4,1,0,658860
1,4,1,0,373800
1,4,1,0,770040
1,4,1,0,453420
1,4,1,0,493080
1,4,1,0,385620
1,4,1,0,651840
1,4,1,0,565380
1,4,1,0,436980
1,4,1,0,541920
1,4,1,0,353400
1,4,1,0,321120
1,4,1,0,547980
1,4,1,0,328260
1,4,1,0,395400
1,4,1,0,384780
1,4,1,0,495840
1,4,1,0,750300
1,4,1,0,574020
1,4,1,0,568740
1,4,1,0,497580
1,4,1,0,479700
1,4,1,0,811860
1,4,1,0,464400
1,4,1,0,509100
1,4,1,0,447540
1,4,1,0,325620
1,4,1,0,665880
1,4,1,0,337680
1,4,1,0,682500
1,4,1,0,561420
1,4,1,0,275220
1,4,1,0,316260
1,4,1,0,515940
1,4,1,0,433680
1,4,1,0,345300
1,4,1,0,618120
1,4,1,0,724920
1,4,1,0,773280
1,4,1,0,446760
1,4,1,0,655620
1,4,1,0,182280
1,4,1,0,421680
1,4,1,0,442500
1,4,1,0,442080
1,4,1,0,575040
1,4,1,0,534600
1,4,1,0,614400
1,4,1,0,396900
1,4,1,0,373740
1,4,1,0,832680
1,4,1,0,550860
1,4,1,0,476880
1,4,1,0,360840
1,4,1,0,592140
1,4,1,0,680160
1,4,1,0,473760
1,4,1,0,408120
1,4,1,0,432420
1,4,1,0,449940
1,4,1,0,445860
1,4,1,0,498120
1,4,1,0,410460
1,4,1,0,335400
1,4,1,0,591240
1,4,1,0,834720
1,4,1,0,275760
1,4,1,0,334560
1,4,1,0,338340
1,4,1,0,433140
1,4,1,0,681900
1,4,1,0,597900
1,4,1,0,615840
1,4,1,0,876240
1,4,1,0,440520
1,4,1,0,894540
1,4,1,0,839340
1,4,1,0,605400
1,4,1,0,464880
1,4,1,0,295740
1,4,1,0,518460
1,4,1,0,402000
1,4,1,0,430920
1,4,1,0,485280
1,4,1,0,575220
1,4,1,0,863520
1,4,1,0,345180
1,4,1,0,466380
1,4,1,0,565440
1,4,1,0,380220
1,4,1,0,596880
1,4,1,0,353640
1,4,1,0,307680
1,4,1,0,566160
1,4,1,0,281820
1,4,1,0,495360
1,4,1,0,512220
1,4,1,0,437100
1,4,1,0,529620
1,4,1,0,577380
1,4,1,0,599280
1,4,1,0,352860
1,4,1,0,599760
1,4,1,0,702540
1,4,1,0,436080
1,4,1,0,486540
1,4,1,0,370620
1,4,1,0,376440
1,4,1,0,762360
1,4,1,0,465960
1,4,1,0,591780
1,4,1,0,350760
1,4,1,0,580680
1,4,1,0,589200
1,4,1,0,618060
1,4,1,0,385920
1,4,1,0,509880
1,4,1,0,358200
1,4,1,0,476040
1,4,1,0,461820
1,4,1,0,684420
1,4,1,0,389280
1,4,1,0,397740
1,4,1,0,481440
1,4,1,0,412020
1,4,1,0,265740
1,4,1,0,369600
1,4,1,0,603000
1,4,1,0,594660
1,4,1,0,655560
1,4,1,0,677340
1,4,1,0,817800
1,4,1,0,621060
1,4,1,0,619620
1,4,1,0,211860
1,4,1,0,318660
1,4,1,0,845880
1,4,1,0,790080
1,4,1,0,585960
1,4,1,0,585960
1,4,1,0,773940
1,4,1,0,441960
1,4,1,0,282840
1,4,1,0,697140
1,4,1,0,413520
1,4,1,0,543840
1,4,1,0,392820
1,4,1,0,199980
1,4,1,0,796860
1,4,1,0,849900
1,4,1,0,414300
1,4,1,0,384480
1,4,1,0,382560
1,4,1,0,511200
1,4,1,0,603960
1,4,1,0,501480
1,4,1,0,507300
1,4,1,0,288780
1,4,1,0,329700
1,4,1,0,550800
1,4,1,0,323520
1,4,1,0,260760
1,4,1,0,506880
1,4,1,0,462240
1,4,1,0,438600
1,4,1,0,374940
1,4,1,0,520680
1,4,1,0,430800
1,4,1,0,473160
1,4,1,0,430860
1,4,1,0,295920
1,4,1,0,347700
1,4,1,0,452640
1,4,1,0,395040
1,4,1,0,274380
1,4,1,0,603300
1,4,1,0,384240
1,4,1,0,751620
1,4,1,0,346800
1,4,1,0,589980
1,4,1,0,572700
1,4,1,0,690600
1,4,1,0,412020
1,4,1,0,466320
1,4,1,0,334080
1,4,1,0,346920
1,4,1,0,367980
1,4,1,0,904380
1,4,1,0,626940
1,4,1,0,496200
1,4,1,0,351540
1,4,1,0,347640
1,4,1,0,375720
1,4,1,0,313560
1,4,1,0,623220
1,4,1,0,275460
1,4,1,0,302280
1,4,1,0,314820
1,4,1,0,416220
1,4,1,0,628440
1,4,1,0,657720
1,4,1,0,365280
1,4,1,0,453060
1,4,1,0,541140
1,4,1,0,574320
1,4,1,0,490200
1,4,1,0,414420
1,4,1,0,268680
1,4,1,0,712320
1,4,1,0,333360
1,4,1,0,262980
1,4,1,0,320100
1,4,1,0,541680
1,4,1,0,472620
1,4,1,0,358020
1,4,1,0,664380
1,4,1,0,640740
1,4,1,0,526440
1,4,1,0,451440
1,4,1,0,356520
1,4,1,0,505380
1,4,1,0,458520
1,4,1,0,598320
1,4,1,0,544320
1,4,1,0,445500
1,4,1,0,692400
1,4,1,0,487200
1,4,1,0,667740
1,4,1,0,370500
1,4,1,0,450300
1,4,1,0,431520
1,4,1,0,537120
1,4,1,0,567900
1,4,1,0,473520
1,4,1,0,463500
1,4,1,0,473700
1,4,1,0,585000
1,4,1,0,441780
1,4,1,0,366240
1,4,1,0,759600
1,4,1,0,386100
1,4,1,0,234240
1,4,1,0,773160
1,4,1,0,658680
1,4,1,0,899520
1,4,1,0,326700
1,4,1,0,535380
1,4,1,0,470040
1,4,1,0,296880
1,4,1,0,422820
1,4,1,0,526980
1,4,1,0,554880
1,4,1,0,509820
1,4,1,0,462420
1,4,1,0,760080
1,4,1,0,266160
1,4,1,0,631500
1,4,1,0,394860
1,4,1,0,381660
1,4,1,0,367260
1,4,1,0,580800
1,4,1,0,690720
1,4,1,0,383460
1,4,1,0,444120
1,4,1,0,598260
1,4,1,0,541440
1,4,1,0,681840
1,4,1,0,705180
1,4,1,0,326400
1,4,1,0,499620
1,4,1,0,425100
1,4,1,0,488580
1,4,1,0,529860
1,4,1,0,670380
1,4,1,0,241800
1,4,1,0,573360
1,4,1,0,562020
1,4,1,0,629580
1,4,1,0,658440
1,4,1,0,454860
1,4,1,0,256440
1,4,1,0,888480
1,4,1,0,604680
1,4,1,0,570000
1,4,1,0,414600
1,4,1,0,447240
1,4,1,0,640920
1,4,1,0,275400
1,4,1,0,485520
1,4,1,0,408780
1,4,1,0,654900
1,4,1,0,316860
1,4,1,0,515460
1,4,1,0,531780
1,4,1,0,436560
1,4,1,0,588000
1,4,1,0,836940
1,4,1,0,320760
1,4,1,0,417720
1,4,1,0,359880
1,4,1,0,221280
1,4,1,0,771960
1,4,1,0,626100
1,4,1,0,412320
1,4,1,0,735300
1,4,1,0,412560
1,4,1,0,615840
1,4,1,0,356280
1,4,1,0,503880
1,4,1,0,417120
1,4,1,0,598560
1,4,1,0,338700
1,4,1,0,472500
1,4,1,0,379560
1,4,1,0,494760
1,4,1,0,553320
1,4,1,0,380940
1,4,1,0,630660
1,4,1,0,616380
1,4,1,0,683040
1,4,1,0,722160
1,4,1,0,493080
1,4,1,0,419760
1,4,1,0,871140
1,4,1,0,329400
1,4,1,0,348420
1,4,1,0,852720
1,4,1,0,536280
1,4,1,0,703500
1,4,1,0,327120
1,4,1,0,460020
1,4,1,0,439080
1,4,1,0,372660
1,4,1,0,487380
1,4,1,0,602700
1,4,1,0,733560
1,4,1,0,539820
1,4,1,0,640140
1,4,1,0,587880
1,4,1,0,286440
1,4,1,0,488820
1,4,1,0,533820
1,4,1,0,504600
1,4,1,0,628380
1,4,1,0,470340
1,4,1,0,373020
1,4,1,0,344100
1,4,1,0,290400
1,4,1,0,477780
1,4,1,0,630720
1,4,1,0,535140
1,4,1,0,780180
1,4,1,0,433980
1,4,1,0,360480
1,4,1,0,691560
1,4,1,0,454320
1,4,1,0,687660
1,4,1,0,315420
1,4,1,0,421320
1,4,1,0,305160
1,4,1,0,489840
1,4,1,0,377880
1,4,1,0,469020
1,4,1,0,869160
1,4,1,0,547560
1,4,1,0,476700
1,4,1,0,304260
1,4,1,0,444540
1,4,1,0,386880
1,4,1,0,566400
1,4,1,0,381360
1,4,1,0,326880
1,4,1,0,337680
1,4,1,0,475440
1,4,1,0,465180
1,4,1,0,338220
1,4,1,0,421020
1,4,1,0,507420
1,4,1,0,598080
1,4,1,0,746580
1,4,1,0,279540
1,4,1,0,799740
1,4,1,0,235320
1,4,1,0,533700
1,4,1,0,620940
1,4,1,0,414180
1,4,1,0,323580
1,4,1,0,226200
1,4,1,0,356700
1,4,1,0,467760
1,4,1,0,324360
1,4,1,0,568680
1,4,1,0,700740
1,4,1,0,362760
1,4,1,0,377040
1,4,1,0,599640
1,4,1,0,415200
1,4,1,0,333540
1,4,1,0,315120
1,4,1,0,477960
1,4,1,0,728280
1,4,1,0,596460
1,4,1,0,585900
1,4,1,0,415140
1,4,1,0,283320
1,4,1,0,454800
1,4,1,0,395640
1,4,1,0,493920
1,4,1,0,425160
1,4,1,0,396120
1,4,1,0,473700
1,4,1,0,456120
1,4,1,0,666120
1,4,1,0,628980
1,4,1,0,585960
1,4,1,0,452460
1,4,1,0,524460
1,4,1,0,281340
1,4,1,0,696720
1,4,1,0,727200
1,4,1,0,435660
1,4,1,0,379920
1,4,1,0,483060
1,4,1,0,525660
1,4,1,0,379740
1,4,1,0,412860
1,4,1,0,486660
1,4,1,0,427080
1,4,1,0,297720
1,4,1,0,622680
1,4,1,0,311820
1,4,1,0,526320
1,4,1,0,235680
1,4,1,0,684060
1,4,1,0,343320
1,4,1,0,382080
1,4,1,0,658920
1,4,1,0,610560
1,4,1,0,474000
1,4,1,0,634680
1,4,1,0,456000
1,4,1,0,380340
1,4,1,0,312960
1,4,1,0,569580
1,4,1,0,401760
1,4,1,0,572880
1,4,1,0,536220
1,4,1,0,566340
1,4,1,0,271620
1,4,1,0,496920
1,4,1,0,496680
1,4,1,0,294360
1,4,1,0,631680
1,4,1,0,705000
1,4,1,0,362760
1,4,1,0,633780
1,4,1,0,639960
1,4,1,0,354840
1,4,1,0,744360
1,4,1,0,433680
1,4,1,0,462960
1,4,1,0,518220
1,4,1,0,603240
1,4,1,0,247320
1,4,1,0,356100
1,4,1,0,350100
1,4,1,0,662160
1,4,1,0,477540
1,4,1,0,687480
1,4,1,0,518580
1,4,1,0,403200
1,4,1,0,473400
1,4,1,0,394320
1,4,1,0,355500
1,4,1,0,459060
1,4,1,0,456900
1,4,1,0,500700
1,4,1,0,681240
1,4,1,0,349800
1,4,1,0,430200
1,4,1,0,681720
1,4,1,0,608100
1,4,1,0,385260
1,4,1,0,565800
1,4,1,0,577020
1,4,1,0,472560
1,4,1,0,322620
1,4,1,0,501960
1,4,1,0,423900
1,4,1,0,333660
1,4,1,0,523920
1,4,1,0,288780
1,4,1,0,849120
1,4,1,0,457380
1,4,1,0,457020
1,4,1,0,882420
1,4,1,0,441000
1,4,1,0,314580
1,4,1,0,872460
1,4,1,0,456540
1,4,1,0,820500
1,4,1,0,410820
1,4,1,0,627600
