product_id,category,base_price,rating,supplier
1001,unknown,450,two,
1002,nan,100,3,
1003,unknown,200,NaN,ZenStyle
1004,Beauty,nan,two,BestGoods
1005,Toys,NaN,4,
1006,Beauty,NaN,NaN,PlayTime
1007,unknown,NaN,nan,
1008,Home,5000,6,ZenStyle
1009,Sports,200,4,
1010,Beauty,450,nan,BestGoods
1011,Sports,5000,3,
1012,Home,5000,5,
1013,unknown,nan,4,HomePlus
1014,Home,300,3,ZenStyle
1015,Electronics,200,nan,PlayTime
1016,Home,NaN,4,ZenStyle
1017,unknown,100,4,BestGoods
1018,123,nan,NaN,
1019,Home,300,3,A-Tech
1020,Electronics,450,6,
1021,unknown,100,4,A-Tech
1022,Electronics,nan,5,
1023,123,300,5,
1024,Home,300,NaN,
1025,Sports,300,4,ZenStyle
1026,unknown,5000,two,A-Tech
1027,nan,450,NaN,BestGoods
1028,Toys,300,NaN,
1029,Electronics,NaN,NaN,BestGoods
1030,Electronics,nan,6,A-Tech
1031,Toys,nan,4,ZenStyle
1032,Home,450,4,
1033,123,NaN,nan,BestGoods
1034,Sports,5000,NaN,ZenStyle
1035,Beauty,NaN,NaN,PlayTime
1036,Toys,5000,NaN,
1037,123,450,NaN,
1038,Beauty,nan,5,
1039,Toys,300,two,PlayTime
1040,123,100,two,BestGoods
1041,Electronics,5000,4,PlayTime
1006,Beauty,NaN,NaN,PlayTime
1011,Sports,5000,3,
