order_id,product_id,units_sold,discount,region
5001,1012,0,0.05,Central
5002,1003,10,free,Central
5003,1044,2,nan,Central
5004,1007,999,0.05,West
5005,1038,three,NaN,West
5006,1024,5,nan,South
5007,1006,0,0.1,???
5008,1013,0,0.1,???
5009,1028,2,0.9,Central
5010,1044,2,NaN,
5011,1020,0,0,North
5012,1036,5,NaN,
5013,1032,5,NaN,???
5014,1040,three,0.1,???
5015,1024,nan,free,
5016,1013,1,0.05,
5017,1008,5,free,???
5018,1014,three,0.05,
5019,1006,5,0.05,Central
5020,1001,10,0.1,
5021,1030,three,0.1,North
5022,1006,three,free,North
5023,1040,5,0.1,
5024,1010,2,0,North
5025,1012,5,free,
5026,1012,2,0,???
5027,1025,0,0.05,South
5028,1042,5,NaN,North
5029,1007,5,NaN,???
5030,1013,5,NaN,
5031,1044,0,0.05,
5032,1001,10,NaN,Central
5033,1041,5,0.05,West
5034,1014,0,0.1,???
5035,1023,1,nan,East
5036,1033,1,free,
5037,1003,nan,0.05,Central
5038,1017,nan,0,
5039,1024,10,0.05,North
5040,1023,1,nan,???
5041,1005,1,0.1,South
5042,1033,nan,0,East
5043,1037,2,free,East
5044,1002,three,0.05,East
5045,1018,10,0.1,???
5003,1044,2,nan,Central
5016,1013,1,0.05,
